scott	optimal-k	top95	bottom95	practical
0.09375	0.10850694444444445	0.10928362573099415	0.10252192982456139	0.05
0.1787109375	0.20619574652777778	0.20764231542397657	0.2015145285087719	0.3
0.255706787109375	0.2925919144241898	0.2945332369144432	0.286274870933845	0.45
0.3254842758178711	0.3665281913898609	0.36868839747259724	0.3612042533026802	0.45
0.3887201249599457	0.43190339031042874	0.43417619374992783	0.42736349770432563	0.55
0.44602761324495077	0.4876346938243067	0.4898245401705886	0.4828580365993707	0.55
0.49796252450323664	0.5383874789768553	0.5405151081596774	0.5342017142982612	0.55
0.5450285378310582	0.5880770165524793	0.59034272595887	0.5846212127719617	0.6
0.5876821124093965	0.6307988254753537	0.6330681261630356	0.6278830048374	0.6
0.6263369143710159	0.6722351900706716	0.6739727343713269	0.6692391363051277	0.7
0.6613678286487327	0.708959032624784	0.7108492553905809	0.7065594321430879	0.7
0.6931145947129145	0.7388860712834526	0.740738135557969	0.7366026960157694	0.75
0.7218851014585786	0.7687526875647546	0.7707146568905942	0.7669669148054761	0.75
0.747958373196837	0.7925770611134143	0.7944679872890543	0.7910715960244159	0.75
0.7715872757096333	0.8135534945245478	0.8153477007338801	0.8119756107848483	0.85
0.793000968611855	0.8325314583939514	0.8342363316649	0.8309230285788182	0.85
0.8124071278044941	0.8501379168436822	0.8517832889125405	0.848691762151215	0.9
0.8299939595728227	0.8663512286245553	0.8679562281927462	0.8648009191661736	0.9
0.8459320258628704	0.8800085091210021	0.88152239304178	0.8786628942364487	0.9
0.8603758984382261	0.8925853215148608	0.894027153035116	0.891280428282139	0.9
0.8734656579596421	0.903424277821434	0.9047714023839597	0.902282183076574	0.9
0.8853282525259264	0.9136518836063369	0.9149344853374762	0.9126786303401581	0.9
0.8960787288516203	0.9228280390098957	0.923622389715913	0.9220029240001401	1.0
0.9058213480217813	0.9310544032208135	0.9318264673833042	0.930278133494561	1.0
0.9146505966447392	0.9384480938799404	0.9391967265514651	0.9377044100306133	1.0
0.9226521032092949	0.9449388080223977	0.9456551628516882	0.9442865350795631	1.0
0.9299034685334234	0.9509249223048742	0.9515045467428864	0.9503771750838291	1.0
0.936475018358415	0.956104852677688	0.9565617896220496	0.9556389379080311	1.0
0.9424304853873136	0.960686949218424	0.9610725454927997	0.9602892890362786	1.0
0.9478276273822528	0.9646847194265031	0.9650505961394881	0.9642990979610826	1.0
0.9527187873151666	0.9684334733724341	0.9687880989536909	0.9680610200572565	1.0
0.9571514010043704	0.9716534728513574	0.9719255693744555	0.9712893753400756	1.0
0.9611684571602102	0.9745072879180163	0.9747090828585211	0.9741876576087584	1.0
0.9648089143014399	0.977311979044444	0.9775166846234207	0.977044142990823	1.0
0.9681080785856804	0.979551802854923	0.9796995424044769	0.9793150144232184	1.0
0.9710979462182724	0.981772556109151	0.9819224311165592	0.9815739526335439	1.0
0.9738075137603099	0.983599141086315	0.9837274867825638	0.9834253546924616	1.0
0.9762630593452808	0.9853067676748145	0.9854320307549528	0.9851537443729411	1.0
0.9784883975316607	0.9868670574654772	0.9869901981455458	0.9867380011118481	1.0
0.9805051102630673	0.9883189213153527	0.9884421307402055	0.9882135771784165	1.0
0.9823327561759049	0.9895955028856547	0.9896936504342277	0.9894724390060776	1.0
0.9839890602844138	0.9906530780855182	0.9907463481748544	0.9905458753180933	1.0
0.9854900858827499	0.9916230251964615	0.991712481382368	0.9915308028559281	1.0
0.9868503903312419	0.9924607683902125	0.9925445960484751	0.9923775281539381	1.0
0.9880831662376884	0.9933285408724057	0.9933979621013315	0.9932517776936116	1.0
0.989200369402905	0.9940376728341531	0.9941049901738428	0.9939639366090661	1.0
0.9902128347713827	0.994627018427782	0.9946896235785508	0.9945617937854723	1.0
0.9911303815115658	0.9951628198320158	0.9952212444015758	0.9951053986515983	1.0
0.9919619082448566	0.9956968943054887	0.9957443014329316	0.995642936401701	1.0
0.992715479346901	0.9961552682317881	0.9962011234551087	0.9961092613955561	1.0
0.9933984031581286	0.9965608702772558	0.9966048033335059	0.9965113155761604	1.0
0.9940173028620546	0.9969253266739659	0.9969673535317296	0.996882630251635	1.0
0.9945781807187368	0.9972344607319394	0.9972672763320733	0.9971968662272892	1.0
0.9950864762763555	0.9975208042063519	0.9975519683001852	0.9974881591427249	1.0
0.9955471191254471	0.997768645531383	0.9977976993977022	0.9977398723487539	1.0
0.9959645767074363	0.9979994527900636	0.9980269206341658	0.9979745148710562	1.0
0.996342897641114	0.998205979500101	0.9982318709395609	0.9981818671530116	1.0
0.9966857509872596	0.9983882980443163	0.9984125057993449	0.9983671898677844	1.0
0.996996461832204	0.9985587986996365	0.9985817582195771	0.9985406906566003	1.0
0.9972780435354347	0.9987032100506081	0.9987245065223472	0.998685484522869	1.0
0.997533226953988	0.9988349963473107	0.9988548337610846	0.9988194700740574	1.0
0.9977644869270513	0.9989588789099262	0.9989776283277472	0.9989441490579892	1.0
0.9979740662776407	0.9990715882054129	0.9990893748228545	0.9990563138631192	1.0
0.9981639975641116	0.999164082124451	0.9991804883682599	0.9991503446200288	1.0
0.9983361227924764	0.9992512844199783	0.9992666175781512	0.9992383542384027	1.0
0.9984921112806816	0.9993305741559988	0.9993449486542979	0.9993193350026509	1.0
0.9986334758481178	0.9993978088160589	0.9994110712834156	0.9993878589116104	1.0
0.9987615874873569	0.9994586387289892	0.9994708880763172	0.9994498518643687	1.0
0.9988776886604175	0.9995166439791342	0.9995268534786391	0.9995090626004924	1.0
0.9989829053485029	0.9995634513542475	0.9995727822788666	0.999556659295546	1.0
