6.722638585930377 Q9JJ40 Q8K430 P60711 Q6IN36 P47942 P21708 P69736		GO:0065007 0.06420009682010515
6.733024653343148 P18614 P28572-2 P31016 Q6IN36 P47942 P21708 P69736		GO:0043234 0.011766426291525498
6.733024653343148 P18614 P28572-2 P31016 Q6IN36 Q4V7C7 P21708 P69736		GO:0043234 0.011766426291525498
6.801772095941887 Q63226 Q63622 P31016 Q6IN36 P47942 P21708 P69736		GO:0065007 0.06420009682010515
6.801772095941887 Q63226 Q63622 P31016 Q6IN36 Q4V7C7 P21708 P69736		GO:0065007 0.06420009682010515
6.818198141735701 P31422 Q9JI92 P19492 P05696 Q63369 P47196 O70437		GO:0016070 0.0015514323906696977
6.866865039341032 P11442 O88339 P18484 Q3MUI1 P68511 P21708 P69736		GO:0043234 0.011766426291525498
6.866865039341032 P84092 O88339 P18484 Q3MUI1 P68511 P21708 P69736		GO:0043234 0.011766426291525498
6.8947511028824895 Q9JJ40 P31016 P70587 P11275 Q9Z1P2 P21708 P69736		GO:0005488 0.02067836928273835
6.89475110288249 Q9JJ40 P35439 O88382 Q00961 P62260 P21708 P69736		GO:0005488 0.02067836928273835
6.91360811988874 Q63226 Q63622 Q00960 P11275 Q9Z1P2 P21708 P69736		GO:0030054 0.0015514323906696977
6.9485679847121995 Q63226 P31016 Q00960 P11275 Q9Z1P2 P21708 P69736		GO:0030054 0.0015514323906696977
6.999269122294611 P15385 P31016 P35439 O88382 P62630 P21708 P69736		GO:0005488 0.0024212466092658285
7.007533632144504 Q63226 Q62696 P31016 Q6IN36 P47942 P21708 P69736		GO:0065007 0.06420009682010515
7.040326664081379 Q9JJ40 Q9QUH6 P35439 O88382 P62630 P21708 P69736		GO:0005488 0.02067836928273835
7.100603157086638 P15385 Q62936 Q00960 P11275 Q9Z1P2 P21708 P69736		GO:0043234 0.011766426291525498
7.233000064874854 Q9JJ40 P35439 Q00959 O88382 P62630 P21708 P69736		GO:0005488 0.02067836928273835
7.298183526275531 P84092 Q3MUI1 P18484 O88339 P11442 P21708 P69736		GO:0043234 4.417697091587498E-4
7.32701609513215 P31424 O88382 Q00959 P11275 Q9Z1P2 P21708 P69736		GO:0003674 0.0370262183191619
7.438852119079002 P15385 Q62936 P31016 Q6IN36 Q4V7C7 P21708 P69736		GO:0043234 0.011766426291525498
7.550688143025855 P31424 O88382 P62630 P21708 P04797 P47196 O70437		GO:0060089 0.0021604709117893496
7.550688143025855 P84092 Q3MUI1 P68511 P21708 P04797 P47196 O70437		GO:0006886 0.006611390219945996
7.664318551809352 Q9JJ40 P35439 Q00959 P11275 Q9Z1P2 P21708 P69736		GO:0005488 0.02067836928273835
7.7761545757562045 P11442 P21708 Q9QXQ0 P19357 P04797 P47196 O70437		GO:0006886 0.006611390219945996
7.9820066299603525 P11442 O88339 P84092 Q3MUI1 P68511 P21708 P69736		GO:0043234 4.417697091587498E-4
7.9820066299603525 P31422 P97879 P19490 P11275 Q9Z1P2 P21708 P69736		GO:0043233 0.06499294500729925
7.9820066299603525 P31422 Q9JI92 P19490 P11275 Q9Z1P2 P21708 P69736		GO:0043233 0.06499294500729925
7.982006629960353 O35763 P21708 P82995 P19357 P04797 P47196 O70437		GO:0043233 0.0015514323906696977
7.982006629960353 O35763 P21708 Q9Z1P2 P19357 P04797 P47196 O70437		GO:0043233 0.0015514323906696977
7.982006629960353 P11442 P21708 P82995 P19357 P04797 P47196 O70437		GO:0006886 0.006611390219945996
7.982006629960353 P11442 P21708 Q9Z1P2 P19357 P04797 P47196 O70437		GO:0006886 0.006611390219945996
